disease,entrez_id
macular degeneration,24
macular degeneration,221294
macular degeneration,7078
macular degeneration,6103
macular degeneration,7099
macular degeneration,1524
macular degeneration,54714
macular degeneration,1471
macular degeneration,221416
macular degeneration,5961
macular degeneration,8842
macular degeneration,7439
macular degeneration,10877
macular degeneration,2074
macular degeneration,259266
macular degeneration,8224
macular degeneration,718
macular degeneration,717
macular degeneration,1797
macular degeneration,9709
macular degeneration,3075
macular degeneration,3078
macular degeneration,6785
macular degeneration,5654
macular degeneration,81579
macular degeneration,23418
macular degeneration,8797
macular degeneration,118663
macular degeneration,7148
macular degeneration,3990
macular degeneration,6048
macular degeneration,3426
macular degeneration,3080
macular degeneration,8859
macular degeneration,5978
macular degeneration,7422
macular degeneration,2165
macular degeneration,80864
macular degeneration,81494
macular degeneration,1001
autoimmune diseases,9071
autoimmune diseases,26471
autoimmune diseases,5820
autoimmune diseases,442257
autoimmune diseases,100130988
autoimmune diseases,10892
autoimmune diseases,3559
autoimmune diseases,407977
autoimmune diseases,51062
autoimmune diseases,11181
autoimmune diseases,2914
autoimmune diseases,717
autoimmune diseases,1797
autoimmune diseases,5460
autoimmune diseases,1493
autoimmune diseases,167826
autoimmune diseases,100189469
autoimmune diseases,131368
autoimmune diseases,474354
autoimmune diseases,646702
autoimmune diseases,2315
autoimmune diseases,84547
autoimmune diseases,55584
autoimmune diseases,56244
autoimmune diseases,259308
autoimmune diseases,199
autoimmune diseases,190
autoimmune diseases,79722
autoimmune diseases,5796
autoimmune diseases,389203
autoimmune diseases,1234
autoimmune diseases,1235
autoimmune diseases,1236
autoimmune diseases,3586
autoimmune diseases,9526
autoimmune diseases,8518
autoimmune diseases,100271203
autoimmune diseases,8897
autoimmune diseases,9844
autoimmune diseases,5771
autoimmune diseases,23095
autoimmune diseases,5573
autoimmune diseases,3092
autoimmune diseases,640
autoimmune diseases,11262
autoimmune diseases,644020
autoimmune diseases,430
autoimmune diseases,100271271
autoimmune diseases,353002
autoimmune diseases,8341
autoimmune diseases,5133
autoimmune diseases,353006
autoimmune diseases,23242
autoimmune diseases,22979
autoimmune diseases,3516
autoimmune diseases,387103
autoimmune diseases,3899
autoimmune diseases,346171
autoimmune diseases,267015
autoimmune diseases,135656
autoimmune diseases,3394
autoimmune diseases,1997
autoimmune diseases,6753
autoimmune diseases,8935
autoimmune diseases,63940
autoimmune diseases,3630
autoimmune diseases,6891
autoimmune diseases,6890
autoimmune diseases,100133941
autoimmune diseases,55876
autoimmune diseases,57713
autoimmune diseases,26191
autoimmune diseases,147
autoimmune diseases,414777
autoimmune diseases,440836
autoimmune diseases,3702
autoimmune diseases,1285
autoimmune diseases,3119
autoimmune diseases,3118
autoimmune diseases,3117
autoimmune diseases,3116
autoimmune diseases,100129192
autoimmune diseases,942
autoimmune diseases,3112
autoimmune diseases,148867
autoimmune diseases,7185
autoimmune diseases,399716
autoimmune diseases,7128
autoimmune diseases,84991
autoimmune diseases,60468
autoimmune diseases,5078
autoimmune diseases,5747
autoimmune diseases,10340
autoimmune diseases,23
autoimmune diseases,10665
autoimmune diseases,10666
autoimmune diseases,387046
